tile_id,json_path,image_name,mask_name,width,height,n_buildings,building_ratio,ratio_bin,split
guatemala-volcano_00000001_pre_disaster,data/labels\guatemala-volcano_00000001_pre_disaster.json,guatemala-volcano_00000001_pre_disaster.png,guatemala-volcano_00000001_pre_disaster_mask.npy,1024,1024,4,0.0022941332574300537,low,train
guatemala-volcano_00000006_pre_disaster,data/labels\guatemala-volcano_00000006_pre_disaster.json,guatemala-volcano_00000006_pre_disaster.png,guatemala-volcano_00000006_pre_disaster_mask.npy,1024,1024,97,0.04087801880710935,medium,train
guatemala-volcano_00000007_pre_disaster,data/labels\guatemala-volcano_00000007_pre_disaster.json,guatemala-volcano_00000007_pre_disaster.png,guatemala-volcano_00000007_pre_disaster_mask.npy,1024,1024,9,0.008715093563680623,low,train
guatemala-volcano_00000017_pre_disaster,data/labels\guatemala-volcano_00000017_pre_disaster.json,guatemala-volcano_00000017_pre_disaster.png,guatemala-volcano_00000017_pre_disaster_mask.npy,1024,1024,58,0.017453192216387976,medium,test
hurricane-florence_00000001_pre_disaster,data/labels\hurricane-florence_00000001_pre_disaster.json,hurricane-florence_00000001_pre_disaster.png,hurricane-florence_00000001_pre_disaster_mask.npy,1024,1024,91,0.09156369323401416,high,train
hurricane-florence_00000016_pre_disaster,data/labels\hurricane-florence_00000016_pre_disaster.json,hurricane-florence_00000016_pre_disaster.png,hurricane-florence_00000016_pre_disaster_mask.npy,1024,1024,67,0.07380456365375523,medium,train
hurricane-florence_00000020_pre_disaster,data/labels\hurricane-florence_00000020_pre_disaster.json,hurricane-florence_00000020_pre_disaster.png,hurricane-florence_00000020_pre_disaster_mask.npy,1024,1024,13,0.006882164329848967,low,train
hurricane-florence_00000026_pre_disaster,data/labels\hurricane-florence_00000026_pre_disaster.json,hurricane-florence_00000026_pre_disaster.png,hurricane-florence_00000026_pre_disaster_mask.npy,1024,1024,28,0.014956330879699891,medium,train
hurricane-florence_00000027_pre_disaster,data/labels\hurricane-florence_00000027_pre_disaster.json,hurricane-florence_00000027_pre_disaster.png,hurricane-florence_00000027_pre_disaster_mask.npy,1024,1024,1,0.0005639565452301587,very_low,train
hurricane-florence_00000031_pre_disaster,data/labels\hurricane-florence_00000031_pre_disaster.json,hurricane-florence_00000031_pre_disaster.png,hurricane-florence_00000031_pre_disaster_mask.npy,1024,1024,11,0.008426855361365403,low,train
hurricane-florence_00000032_pre_disaster,data/labels\hurricane-florence_00000032_pre_disaster.json,hurricane-florence_00000032_pre_disaster.png,hurricane-florence_00000032_pre_disaster_mask.npy,1024,1024,19,0.011294206576542341,low,train
hurricane-florence_00000042_pre_disaster,data/labels\hurricane-florence_00000042_pre_disaster.json,hurricane-florence_00000042_pre_disaster.png,hurricane-florence_00000042_pre_disaster_mask.npy,1024,1024,20,0.01040575811896359,low,train
hurricane-florence_00000051_pre_disaster,data/labels\hurricane-florence_00000051_pre_disaster.json,hurricane-florence_00000051_pre_disaster.png,hurricane-florence_00000051_pre_disaster_mask.npy,1024,1024,20,0.012679558731089162,medium,val
hurricane-florence_00000053_pre_disaster,data/labels\hurricane-florence_00000053_pre_disaster.json,hurricane-florence_00000053_pre_disaster.png,hurricane-florence_00000053_pre_disaster_mask.npy,1024,1024,7,0.008162737335435733,low,train
hurricane-florence_00000060_pre_disaster,data/labels\hurricane-florence_00000060_pre_disaster.json,hurricane-florence_00000060_pre_disaster.png,hurricane-florence_00000060_pre_disaster_mask.npy,1024,1024,14,0.006897422279014147,low,train
hurricane-florence_00000067_pre_disaster,data/labels\hurricane-florence_00000067_pre_disaster.json,hurricane-florence_00000067_pre_disaster.png,hurricane-florence_00000067_pre_disaster_mask.npy,1024,1024,25,0.015487400532380471,medium,train
