tile_id,json_path,image_name,mask_name,width,height,n_buildings,building_ratio,ratio_bin,split
guatemala-volcano_00000002_pre_disaster,data/labels\guatemala-volcano_00000002_pre_disaster.json,guatemala-volcano_00000002_pre_disaster.png,guatemala-volcano_00000002_pre_disaster_mask.npy,1024,1024,1,0.002332785931513574,low,val
guatemala-volcano_00000006_pre_disaster,data/labels\guatemala-volcano_00000006_pre_disaster.json,guatemala-volcano_00000006_pre_disaster.png,guatemala-volcano_00000006_pre_disaster_mask.npy,1024,1024,97,0.04087801880710935,medium,train
guatemala-volcano_00000008_pre_disaster,data/labels\guatemala-volcano_00000008_pre_disaster.json,guatemala-volcano_00000008_pre_disaster.png,guatemala-volcano_00000008_pre_disaster_mask.npy,1024,1024,0,0.0,very_low,train
guatemala-volcano_00000010_pre_disaster,data/labels\guatemala-volcano_00000010_pre_disaster.json,guatemala-volcano_00000010_pre_disaster.png,guatemala-volcano_00000010_pre_disaster_mask.npy,1024,1024,2,4.6176443403516594e-05,very_low,train
guatemala-volcano_00000013_pre_disaster,data/labels\guatemala-volcano_00000013_pre_disaster.json,guatemala-volcano_00000013_pre_disaster.png,guatemala-volcano_00000013_pre_disaster_mask.npy,1024,1024,13,0.018245118884875164,medium,train
guatemala-volcano_00000015_pre_disaster,data/labels\guatemala-volcano_00000015_pre_disaster.json,guatemala-volcano_00000015_pre_disaster.png,guatemala-volcano_00000015_pre_disaster_mask.npy,1024,1024,131,0.05316999944253783,medium,train
guatemala-volcano_00000018_pre_disaster,data/labels\guatemala-volcano_00000018_pre_disaster.json,guatemala-volcano_00000018_pre_disaster.png,guatemala-volcano_00000018_pre_disaster_mask.npy,1024,1024,12,0.005661007522328248,low,train
guatemala-volcano_00000024_pre_disaster,data/labels\guatemala-volcano_00000024_pre_disaster.json,guatemala-volcano_00000024_pre_disaster.png,guatemala-volcano_00000024_pre_disaster_mask.npy,1024,1024,67,0.023142665361888613,medium,test
guatemala-volcano_00000026_pre_disaster,data/labels\guatemala-volcano_00000026_pre_disaster.json,guatemala-volcano_00000026_pre_disaster.png,guatemala-volcano_00000026_pre_disaster_mask.npy,1024,1024,30,0.006201075929470751,low,train
guatemala-volcano_00000027_pre_disaster,data/labels\guatemala-volcano_00000027_pre_disaster.json,guatemala-volcano_00000027_pre_disaster.png,guatemala-volcano_00000027_pre_disaster_mask.npy,1024,1024,25,0.013821279537048859,medium,val
hurricane-florence_00000001_pre_disaster,data/labels\hurricane-florence_00000001_pre_disaster.json,hurricane-florence_00000001_pre_disaster.png,hurricane-florence_00000001_pre_disaster_mask.npy,1024,1024,91,0.09156369323401416,high,train
hurricane-florence_00000015_pre_disaster,data/labels\hurricane-florence_00000015_pre_disaster.json,hurricane-florence_00000015_pre_disaster.png,hurricane-florence_00000015_pre_disaster_mask.npy,1024,1024,106,0.12760242914414097,high,test
hurricane-florence_00000016_pre_disaster,data/labels\hurricane-florence_00000016_pre_disaster.json,hurricane-florence_00000016_pre_disaster.png,hurricane-florence_00000016_pre_disaster_mask.npy,1024,1024,67,0.07380456365375523,medium,train
hurricane-florence_00000020_pre_disaster,data/labels\hurricane-florence_00000020_pre_disaster.json,hurricane-florence_00000020_pre_disaster.png,hurricane-florence_00000020_pre_disaster_mask.npy,1024,1024,13,0.006882164329848967,low,test
hurricane-florence_00000022_pre_disaster,data/labels\hurricane-florence_00000022_pre_disaster.json,hurricane-florence_00000022_pre_disaster.png,hurricane-florence_00000022_pre_disaster_mask.npy,1024,1024,8,0.003498513643839493,low,train
hurricane-florence_00000024_pre_disaster,data/labels\hurricane-florence_00000024_pre_disaster.json,hurricane-florence_00000024_pre_disaster.png,hurricane-florence_00000024_pre_disaster_mask.npy,1024,1024,15,0.007443821666116727,low,val
hurricane-florence_00000026_pre_disaster,data/labels\hurricane-florence_00000026_pre_disaster.json,hurricane-florence_00000026_pre_disaster.png,hurricane-florence_00000026_pre_disaster_mask.npy,1024,1024,28,0.014956330879699891,medium,val
hurricane-florence_00000027_pre_disaster,data/labels\hurricane-florence_00000027_pre_disaster.json,hurricane-florence_00000027_pre_disaster.png,hurricane-florence_00000027_pre_disaster_mask.npy,1024,1024,1,0.0005639565452301587,very_low,train
hurricane-florence_00000028_pre_disaster,data/labels\hurricane-florence_00000028_pre_disaster.json,hurricane-florence_00000028_pre_disaster.png,hurricane-florence_00000028_pre_disaster_mask.npy,1024,1024,170,0.11568033638694161,high,test
hurricane-florence_00000031_pre_disaster,data/labels\hurricane-florence_00000031_pre_disaster.json,hurricane-florence_00000031_pre_disaster.png,hurricane-florence_00000031_pre_disaster_mask.npy,1024,1024,11,0.008426855361365403,low,train
hurricane-florence_00000032_pre_disaster,data/labels\hurricane-florence_00000032_pre_disaster.json,hurricane-florence_00000032_pre_disaster.png,hurricane-florence_00000032_pre_disaster_mask.npy,1024,1024,19,0.011294206576542341,low,train
hurricane-florence_00000043_pre_disaster,data/labels\hurricane-florence_00000043_pre_disaster.json,hurricane-florence_00000043_pre_disaster.png,hurricane-florence_00000043_pre_disaster_mask.npy,1024,1024,1,0.0009588808149838051,very_low,train
hurricane-florence_00000044_pre_disaster,data/labels\hurricane-florence_00000044_pre_disaster.json,hurricane-florence_00000044_pre_disaster.png,hurricane-florence_00000044_pre_disaster_mask.npy,1024,1024,7,0.002179653168216323,low,test
hurricane-florence_00000045_pre_disaster,data/labels\hurricane-florence_00000045_pre_disaster.json,hurricane-florence_00000045_pre_disaster.png,hurricane-florence_00000045_pre_disaster_mask.npy,1024,1024,26,0.013415993045673986,medium,train
hurricane-florence_00000048_pre_disaster,data/labels\hurricane-florence_00000048_pre_disaster.json,hurricane-florence_00000048_pre_disaster.png,hurricane-florence_00000048_pre_disaster_mask.npy,1024,1024,24,0.01533158549844556,medium,train
hurricane-florence_00000051_pre_disaster,data/labels\hurricane-florence_00000051_pre_disaster.json,hurricane-florence_00000051_pre_disaster.png,hurricane-florence_00000051_pre_disaster_mask.npy,1024,1024,20,0.012679558731089162,medium,train
hurricane-florence_00000053_pre_disaster,data/labels\hurricane-florence_00000053_pre_disaster.json,hurricane-florence_00000053_pre_disaster.png,hurricane-florence_00000053_pre_disaster_mask.npy,1024,1024,7,0.008162737335435733,low,train
hurricane-florence_00000054_pre_disaster,data/labels\hurricane-florence_00000054_pre_disaster.json,hurricane-florence_00000054_pre_disaster.png,hurricane-florence_00000054_pre_disaster_mask.npy,1024,1024,12,0.03211919858546859,medium,train
hurricane-florence_00000055_pre_disaster,data/labels\hurricane-florence_00000055_pre_disaster.json,hurricane-florence_00000055_pre_disaster.png,hurricane-florence_00000055_pre_disaster_mask.npy,1024,1024,9,0.004872534247520558,low,test
hurricane-florence_00000058_pre_disaster,data/labels\hurricane-florence_00000058_pre_disaster.json,hurricane-florence_00000058_pre_disaster.png,hurricane-florence_00000058_pre_disaster_mask.npy,1024,1024,0,0.0,very_low,train
hurricane-florence_00000060_pre_disaster,data/labels\hurricane-florence_00000060_pre_disaster.json,hurricane-florence_00000060_pre_disaster.png,hurricane-florence_00000060_pre_disaster_mask.npy,1024,1024,14,0.006897422279014147,low,val
